"","x"
"530",7769
"531",6690
"532",4647
"533",5990
"534",4420
"535",3390
"536",2066
"537",2179
"538",6386
"539",1838
"540",5617
"541",9909
"542",422
"543",1166
"544",666
"545",9725
"546",8931
"547",9543
"548",5740
"549",132
"550",9855
"551",726
"552",1099
"553",6348
"554",2716
"555",5342
"556",448
"557",9214
"558",5855
"559",2880
"560",817
"561",9743
"562",9059
"563",5171
"564",6284
"565",9283
"566",3281
"567",4652
"568",3706
"569",1541
"570",8520
"571",2129
"572",8605
"573",3122
"574",4588
"575",5029
"576",1557
"577",7338
"578",5454
"579",7857
"580",2598
"581",569
"582",923
"583",2515
"584",9827
"585",2289
"586",7470
"587",738
"588",7015
"589",4228
"590",7614
"591",7540
"592",8855
"593",5839
"594",2435
"595",7108
"596",8433
"597",1181
"598",6189
"599",1416
"600",577
"601",3093
"602",2147
"603",8775
"604",4850
"605",1529
"606",5747
"607",8967
"608",6043
"609",8385
"610",1349
"611",1705
"612",9015
"613",1420
"614",9282
"615",4053
"616",4178
"617",6883
"618",1650
"619",4624
"620",9612
"621",6055
"622",3439
"623",5403
"624",993
"625",5248
"626",1546
"627",3727
"628",5572
"629",9027
"630",4267
"631",3771
"632",9252
"633",5259
"634",1993
"635",6870
"636",1908
"637",6523
"638",1102
"639",8415
"640",6418
"641",6106
"642",9681
"643",4048
"644",8194
"645",5221
"646",2979
"647",9893
"648",2803
"649",883
"650",140
"651",7441
"652",5579
"653",2794
"654",497
"655",9529
"656",2564
"657",4287
"658",5528
"659",3587
"660",8735
"661",8505
"662",233
"663",4026
"664",362
"665",2253
"666",1551
"667",2576
"668",2226
"669",3638
"670",892
"671",3998
"672",6411
"673",1837
"674",427
"675",1943
"676",5310
"677",2631
"678",7010
"679",2832
"680",6462
"681",6566
"682",2536
"683",3922
"684",9506
"685",832
"686",3636
"687",7053
"688",7593
"689",7902
"690",685
"691",524
"692",4604
"693",5663
"694",629
"695",4881
"696",468
"697",4139
"698",7124
"699",4451
"700",480
"701",8691
"702",9525
"703",6243
"704",7994
"705",3522
"706",6519
"707",5023
"708",1015
"709",4659
"710",3561
"711",3235
"712",3978
"713",2494
"714",5709
"715",6447
"716",620
"717",5316
"718",759
"719",3260
"720",7654
"721",6816
"722",1752
"723",5838
"724",4362
"725",2707
"726",8864
"727",6338
"728",4616
"729",3652
"730",8638
"731",9862
"732",4703
"733",4796
"734",8666
"735",6583
"736",880
"737",4173
"738",5422
"739",6716
"740",5007
"741",6394
"742",5919
"743",4128
"744",2418
"745",4066
"746",5961
"747",7342
"748",5867
"749",8610
"750",8188
"751",1786
"752",8032
"753",9719
"754",4663
"755",3331
"756",8541
"757",6443
"758",7050
"759",9586
"760",6879
"761",4313
"762",9919
"763",9004
"764",6227
"765",8608
"766",8747
"767",5938
"768",6779
"769",6097
"770",4254
"771",240
"772",1388
"773",3552
"774",5471
"775",7480
"776",2344
"777",7163
"778",6602
"779",6810
"780",2735
"781",3089
"782",911
"783",10
"784",2142
"785",4147
"786",21
"787",3775
"788",3895
"789",2008
"790",7019
"791",5419
"792",1436
"793",2098
"794",7969
"795",9932
"796",2532
"797",1463
"798",7394
"799",2272
"800",4192
"801",5663
"802",1371
"803",2728
"804",6903
"805",3659
"806",2204
"807",3694
"808",6810
"809",7011
"810",2833
"811",8603
"812",1728
"813",2031
"814",2098
"815",6388
"816",1076
"817",1375
"818",8485
"819",9923
"820",7359
"821",4020
"822",193
"823",9150
"824",7300
"825",8059
"826",4323
"827",4451
"828",4088
"829",4119
"830",1568
"831",979
"832",1030
"833",3987
"834",7168
"835",5903
"836",6274
"837",2485
"838",8946
"839",8250
"840",6483
"841",4976
"842",7499
"843",872
"844",4020
"845",55
"846",4210
"847",5669
"848",6906
"849",3577
"850",2998
"851",5182
"852",5205
"853",7354
"854",3362
"855",542
"856",7274
"857",2939
"858",5489
"859",4049
"860",6956
"861",6295
"862",9296
"863",5559
"864",9906
"865",2289
"866",368
"867",3118
"868",9238
"869",9433
"870",9650
"871",647
"872",9204
"873",3938
"874",8985
"875",2588
"876",9098
"877",5154
"878",6861
"879",2545
"880",9580
"881",6093
"882",8185
"883",8507
"884",5393
"885",9117
"886",7975
"887",7390
"888",9068
"889",7057
"890",7388
"891",6017
"892",3974
"893",1772
"894",8544
"895",9771
"896",748
"897",3347
"898",573
"899",495
"900",1596
"901",9501
"902",7563
"903",3601
"904",1169
"905",9518
"906",4661
"907",3905
"908",9610
"909",6955
"910",2479
"911",3253
"912",5381
"913",5377
"914",7403
"915",3301
"916",3866
"917",1401
"918",1918
"919",6803
"920",9701
"921",3557
"922",7131
"923",9927
"924",8634
"925",5319
"926",8502
"927",5941
"928",5099
"929",6037
"930",4283
"931",636
"932",2753
"933",4503
"934",4363
"935",6287
"936",8272
"937",4700
"938",1722
"939",8859
"940",174
"941",3106
"942",4949
"943",2562
"944",7783
"945",2065
"946",901
"947",6938
"948",5041
"949",7408
"950",8246
"951",2553
"952",4722
"953",3829
"954",4559
"955",5378
"956",385
"957",7191
"958",2974
"959",7349
"960",3200
"961",3983
"962",927
"963",8831
"964",7016
"965",1595
"966",9240
"967",7062
"968",7648
"969",4930
"970",7254
"971",3399
"972",9774
"973",9222
"974",2394
"975",9494
"976",7438
"977",6267
"978",216
"979",8451
"980",8703
"981",4348
"982",1540
"983",1475
"984",9582
"985",7316
"986",6356
"987",8035
"988",2361
"989",1948
"990",9433
"991",781
"992",9626
"993",6435
"994",6447
"995",8822
"996",2524
"997",2933
"998",4028
"999",1520
"1000",83
